hand,ioc,height,player,fullname,birthdate
R,VEN,165.0,Milagros Sequera,Sequera M.,1980-09-30
R,BLR,177.0,Nadejda Ostrovskaya,Ostrovskaya N.,1980-10-29
R,USA,180.0,Allison Bradshaw,Bradshaw A.,1980-11-14
R,SVK,170.0,Martina Sucha,Sucha M.,1980-11-20
R,INA,173.0,Wukirasih Sawondari,Sawondari W.,1980-11-20
R,USA,163.0,Christina Fusano,Fusano C.,1980-11-27
R,USA,183.0,Bea Bielik,Bielik B.,1980-11-28
R,USA,185.0,Alexandra Stevenson,Stevenson A.,1980-12-15
R,CAN,163.0,Ioana Plesu,Plesu I.,1980-12-17
L,NZL,173.0,Leanne Baker,Baker L.,1981-01-08
R,AUS,182.0,Alicia Molik,Molik A.,1981-01-27
R,USA,170.0,Jennifer Hopkins,Hopkins J.,1981-02-10
R,SLO,172.0,Tina Pisnik,Pisnik T.,1981-02-19
L,RSA,175.0,Natalie Grandin,Grandin N.,1981-02-27
R,SLO,180.0,Katarina Srebotnik,Srebotnik K.,1981-03-12
R,ESP,163.0,Lourdes Dominguez Lino,Dominguez Lino L.,1981-03-31
R,HUN,173.0,Zsofia Gubacsi,Gubacsi Z.,1981-04-06
R,INA,160.0,Wynne Prakusya,Prakusya W.,1981-04-26
R,FRA,166.0,Stephanie Foretz Gacon,Foretz Gacon S.,1981-05-03
R,USA,175.0,Laura Granville,Granville L.,1981-05-12
R,RUS,183.0,Ekaterina Sysoeva,Sysoeva E.,1981-06-03
R,RUS,173.0,Anna Kournikova,Kournikova A.,1981-06-07
R,ITA,181.0,Mara Santangelo,Santangelo M.,1981-06-28
L,CRO,168.0,Jelena Kostanic Tosic,Kostanic Tosic J.,1981-07-06
R,RUS,174.0,Anastasia Myskina,Myskina A.,1981-07-08
R,USA,175.0,Abigail Spears,Spears A.,1981-07-12
R,FRA,162.0,Camille Pin,Pin C.,1981-08-25
L,ARG,179.0,Clarisa Fernandez,Fernandez C.,1981-08-28
R,USA,170.0,Jewel Peterson,Peterson J.,1981-09-10
R,JPN,155.0,Rika Fujiwara,Fujiwara R.,1981-09-19
R,USA,175.0,Serena Williams,Williams S.,1981-09-26
R,GER,183.0,Kristina Barrois,Barrois K.,1981-09-30
R,CHN,175.0,Tian Tian Sun,Sun T.,1981-10-12
R,RUS,180.0,Elena Dementieva,Dementieva E.,1981-10-15
R,POR,182.0,Katia Rodrigues,Rodrigues K.,1981-11-30
R,USA,170.0,Ansley Cargill,Cargill A.,1982-01-05
R,UZB,170.0,Iroda Tulyaganova,Tulyaganova I.,1982-01-07
R,ARG,163.0,Jorgelina Cravero,Cravero J.,1982-01-23
R,EST,176.0,Maret Ani,Ani M.,1982-01-31
R,CZE,166.0,Klara Koukalova,Koukalova K.,1982-02-24
R,ITA,172.0,Flavia Pennetta,Pennetta F.,1982-02-25
R,CHN,172.0,Na Li,Li N.,1982-02-26
R,CRO,181.0,Mirjana Lucic,Lucic M.,1982-03-09
R,ITA,164.0,Maria Elena Camerin,Camerin E.,1982-03-21
R,AUS,161.0,Christina Wheeler,Wheeler C.,1982-04-15
R,USA,168.0,Aleke Tsoubanos,Tsoubanos A.,1982-04-27
R,AUS,167.0,Anastasia Rodionova,Rodionova A.,1982-05-12
R,CAN,172.0,Marie Eve Pelletier,Pelletier E.,1982-05-18
R,BEL,167.0,Justine Henin,Henin J.,1982-06-01
R,USA,170.0,Melissa Middleton,Middleton M.,1982-06-06
R,RUS,178.0,Nadia Petrova,Petrova N.,1982-06-08
R,JPN,170.0,Junri Namigata,Namigata J.,1982-07-05
R,ESP,169.0,Anabel Medina Garrigues,Medina Garrigues A.,1982-07-31
L,ESP,176.0,Maria Jose Martinez Sanchez,Martinez Sanchez J.,1982-08-12
R,GER,166.0,Julia Schruff,Schruff J.,1982-08-16
R,GER,184.0,Bianka Lamade,Lamade B.,1982-08-30
R,GRE,182.0,Eleni Daniilidou,Daniilidou E.,1982-09-19
R,GER,165.0,Martina Muller,Muller M.,1982-10-11
R,JPN,162.0,Kumiko Iijima,Iijima K.,1982-10-22
L,HUN,178.0,Melinda Czink,Czink M.,1982-10-22
R,ESP,176.0,Arantxa Parra Santonja,Parra Santonja A.,1982-11-09
R,BEL,167.0,Caroline Maes,Maes C.,1982-11-09
L,AUT,173.0,Sandra Klemenschits,Klemenschits S.,1982-11-13
R,FRA,172.0,Olivia Sanchez,Sanchez O.,1982-11-17
R,FRA,172.0,Julie Coin,Coin J.,1982-12-02
R,GEO,172.0,Margalita Chakhnashvili,Chakhnashvili M.,1982-12-09
R,UKR,173.0,Tatiana Perebiynis,Perebiynis T.,1982-12-15
R,THA,168.0,Suchanun Viratprasert,Viratprasert S.,1983-01-01
R,ESP,173.0,Marta Marrero,Marrero M.,1983-01-16
R,AUS,170.0,Monique Adamczak,Adamczak M.,1983-01-21
L,CZE,170.0,Iveta Benesova,Benesova I.,1983-02-01
R,ITA,163.0,Roberta Vinci,Vinci R.,1983-02-18
R,ITA,173.0,Nicole Clerico,Clerico N.,1983-03-08
R,CZE,171.0,Daja Bedanova,Bedanova D.,1983-03-09
R,RUS,189.0,Elena Bovina,Bovina E.,1983-03-10
R,CRO,170.0,Jelena Pandzic,Pandzic J.,1983-03-17
R,FRA,175.0,Stephanie Cohen Aloro,Cohen Aloro S.,1983-03-18
R,GBR,172.0,Jane Odonoghue,Odonoghue J.,1983-03-29
L,USA,157.0,Alexis King,King A.,1983-03-31
R,IND,173.0,Shikha Uberoi,Uberoi S.,1983-04-05
R,AUS,175.0,Jelena Dokic,Dokic J.,1983-04-12
L,BRA,174.0,Maria Fernanda Alves,Alves F.,1983-04-17
R,USA,180.0,Erin Burdette,Burdette E.,1983-04-19
R,SVK,181.0,Daniela Hantuchova,Hantuchova D.,1983-04-23
R,POR,170.0,Neuza Silva,Silva N.,1983-05-04
R,FRA,173.0,Virginie Razzano,Razzano V.,1983-05-12
R,ARG,174.0,Maria Emilia Salerni,Salerni E.,1983-05-14
R,LAT,171.0,Liga Dekmeijere,Dekmeijere L.,1983-05-21
R,BEL,175.0,Kim Clijsters,Clijsters K.,1983-06-08
R,UKR,166.0,Yuliana Fedak,Fedak Y.,1983-06-08
R,CHN,164.0,Jie Zheng,Zheng J.,1983-07-05
R,UKR,183.0,Julia Vakulenko,Vakulenko J.,1983-07-10
R,ITA,183.0,Silvia Disderi,Disderi S.,1983-07-10
R,GBR,175.0,Elena Baltacha,Baltacha E.,1983-08-14
R,LUX,169.0,Claudine Schaul,Schaul C.,1983-08-20
R,CRO,175.0,Ivana Abramovic,Abramovic I.,1983-09-03
R,GBR,175.0,Anne Keothavong,Keothavong A.,1983-09-16
R,AUT,175.0,Yvonne Meusburger,Meusburger Y.,1983-10-03
R,SVK,180.0,Lubomira Kurhajcova,Kurhajcova L.,1983-10-11
R,UKR,174.0,Yuliya Beygelzimer,Beygelzimer Y.,1983-10-20
R,HUN,173.0,Aniko Kapros,Kapros A.,1983-11-11
R,AUS,164.0,Nicole Kriz,Kriz N.,1983-12-13
R,JPN,163.0,Aiko Nakamura,Nakamura A.,1983-12-28
R,AUT,170.0,Tina Schiechtl,Schiechtl T.,1984-01-15
L,RUS,165.0,Galina Fokina,Fokina G.,1984-01-17
R,POR,162.0,Catarina Ferreira,Ferreira C.,1984-02-09
R,SWE,176.0,Sofia Arvidsson,Arvidsson S.,1984-02-16
R,GER,175.0,Kathrin Woerle,Woerle K.,1984-02-18
R,SUI,172.0,Marie Gaiane Mikaelian,Mikaelian G.,1984-03-03
R,RSA,176.0,Chanelle Scheepers,Scheepers C.,1984-03-13
R,BAH,168.0,Nikkita Fountain,Fountain N.,1984-03-24
R,AUS,172.0,Samantha Stosur,Stosur S.,1984-03-30
R,CRO,180.0,Darija Jurak,Jurak D.,1984-04-05
R,RUS,174.0,Lina Krasnoroutskaya,Krasnoroutskaya L.,1984-04-29
R,UZB,190.0,Akgul Amanmuradova,Amanmuradova A.,1984-06-23
R,CRO,175.0,Petra Dizdar,Dizdar P.,1984-06-30
R,USA,170.0,Shenay Perry,Perry S.,1984-07-06
R,FIN,172.0,Piia Suomalainen,Suomalainen P.,1984-07-09
R,JPN,174.0,Mai Fujii,Fujii M.,1984-07-13
R,UKR,168.0,Alona Bondarenko,Bondarenko A.,1984-08-13
R,CZE,170.0,Eva Birnerova,Birnerova E.,1984-08-14
R,RUS,172.0,Vera Zvonareva,Zvonareva V.,1984-09-07
R,POL,173.0,Klaudia Jans Ignacik,Jans Ignacik K.,1984-09-24
L,USA,173.0,Angela Haynes,Haynes A.,1984-09-27
R,FRA,170.0,Marion Bartoli,Bartoli M.,1984-10-02
R,CRO,174.0,Karolina Sprem,Sprem K.,1984-10-25
R,CHN,171.0,Zi Yan,Yan Z.,1984-11-12
R,GER,172.0,Scarlett Werner,Werner S.,1984-11-21
R,AUT,178.0,Jenny Zika,Zika J.,1984-11-22
R,ROU,165.0,Edina Gallovits Hall,Gallovits Hall E.,1984-12-10
R,INA,173.0,Angelique Widjaja,Widjaja A.,1984-12-12
R,KAZ,183.0,Galina Voskoboeva,Voskoboeva G.,1984-12-18
R,COL,168.0,Romy Farah,Farah R.,1985-01-05
R,TPE,169.0,Chin Wei Chan,Chan W.,1985-01-08
R,TPE,168.0,Chia Jung Chuang,Chuang J.,1985-01-10
R,BEL,174.0,Elke Clijsters,Clijsters E.,1985-01-18
R,ARG,170.0,Gisela Dulko,Dulko G.,1985-01-30
R,FRA,175.0,Audrey Bergot,Bergot A.,1985-02-01
R,CZE,172.0,Petra Cetkovska,Cetkovska P.,1985-02-08
L,AUS,165.0,Casey Dellacqua,Dellacqua C.,1985-02-11
R,RUS,183.0,Julia Efremova,Efremova J.,1985-02-14
R,SRB,177.0,Jelena Jankovic,Jankovic J.,1985-02-28
R,CRO,183.0,Matea Mezak,Mezak M.,1985-03-05
L,USA,175.0,Theresa Logar,Logar T.,1985-03-10
R,USA,152.0,Megan Moulton Levy,Moulton Levy M.,1985-03-11
R,USA,172.0,Ahsha Rolle,Rolle A.,1985-03-21
R,USA,168.0,Bethanie Mattek Sands,Mattek Sands B.,1985-03-23
R,AUS,168.0,Tiffany Welford,Welford T.,1985-04-12
R,CHI,174.0,Andrea Koch Benvenuto,Koch Benvenuto A.,1985-04-26
R,FRA,173.0,Mathilde Johansson,Johansson M.,1985-04-28
R,USA,165.0,Ashley Harkleroad,Harkleroad A.,1985-05-02
R,KAZ,175.0,Madina Rakhim,Rakhim M.,1985-05-09
R,CZE,177.0,Lucie Hradecka,Hradecka L.,1985-05-21
R,CRO,170.0,Nika Ozegovic,Ozegovic N.,1985-05-21
R,UKR,172.0,Mariya Koryttseva,Koryttseva M.,1985-05-25
R,GER,180.0,Anna Lena Groenefeld,Groenefeld L.,1985-06-04
R,RUS,171.0,Ekaterina Bychkova,Bychkova E.,1985-06-05
R,EST,181.0,Kaia Kanepi,Kanepi K.,1985-06-10
R,SUI,172.0,Myriam Casanova,Casanova M.,1985-06-20
R,RUS,174.0,Svetlana Kuznetsova,Kuznetsova S.,1985-06-27
R,RUS,178.0,Nina Bratchikova,Bratchikova N.,1985-06-28
L,USA,173.0,Shadisha Robinson,Robinson S.,1985-07-12
R,JPN,160.0,Shiho Tanaka,Tanaka S.,1985-08-04
R,UKR,157.0,Oxana Lyubtsova,Lyubtsova O.,1985-09-13
R,USA,178.0,Stacia Fonseca,Fonseca S.,1985-09-21
R,GBR,165.0,Rebecca Llewellyn,Llewellyn R.,1985-10-05
R,IND,170.0,Sunitha Rao,Rao S.,1985-10-27
R,JPN,167.0,Miki Miyamura,Miyamura M.,1985-11-04
R,LUX,180.0,Mandy Minella,Minella M.,1985-11-22
R,POL,166.0,Alicja Rosolska,Rosolska A.,1985-12-01
R,TPE,169.0,Su Wei Hsieh,Hsieh W.,1986-01-04
R,CHN,173.0,Shuai Peng,Peng S.,1986-01-08
R,BEL,165.0,Kirsten Flipkens,Flipkens K.,1986-01-10
R,POL,176.0,Marta Domachowska,Domachowska M.,1986-01-16
R,FRA,175.0,Pauline Parmentier,Parmentier P.,1986-01-31
R,USA,170.0,Neha Uberoi,Uberoi N.,1986-02-06
L,FRA,178.0,Claire Feuerstein,Feuerstein C.,1986-02-28
R,ROU,170.0,Delia Sescioreanu,Sescioreanu D.,1986-03-16
R,AUS,177.0,Sophie Ferguson,Ferguson S.,1986-03-19
L,FIN,164.0,Emma Laine,Laine E.,1986-03-26
R,CZE,164.0,Barbora Strycova,Strycova B.,1986-03-28
R,SUI,172.0,Romina Oprandi,Oprandi R.,1986-03-29
R,INA,161.0,Sandy Gumulya,Gumulya S.,1986-04-02
R,USA,175.0,Audra Cohen,Cohen A.,1986-04-21
R,RUS,185.0,Dinara Safina,Safina D.,1986-04-27
R,GBR,167.0,Katie Obrien,Obrien K.,1986-05-02
R,BLR,168.0,Ekaterina Dzehalevich,Dzehalevich E.,1986-05-03
R,GBR,175.0,Melanie South,South M.,1986-05-03
R,TUR,170.0,Pemra Ozgen,Ozgen P.,1986-05-08
L,USA,180.0,Varvara Lepchenko,Lepchenko V.,1986-05-21
R,USA,175.0,Elizabeth Lumpkin,Lumpkin E.,1986-05-24
R,SWE,165.0,Mari Andersson,Andersson M.,1986-07-05
R,RUS,176.0,Elena Vesnina,Vesnina E.,1986-08-01
R,UKR,175.0,Kateryna Bondarenko,Bondarenko K.,1986-08-08
R,CZE,174.0,Andrea Hlavackova,Hlavackova A.,1986-08-10
R,INA,162.0,Maya Rosa,Rosa M.,1986-08-17
R,USA,163.0,Jamea Jackson,Jackson J.,1986-09-07
R,INA,165.0,Septi Mende,Mende S.,1986-09-21
R,CAN,180.0,Heidi El Tabakh,El Tabakh H.,1986-09-25
R,AUS,165.0,Shannon Golds,Golds S.,1986-10-03
R,RUS,180.0,Vera Dushevina,Dushevina V.,1986-10-06
R,RUS,172.0,Anna Lapushchenkova,Lapushchenkova A.,1986-10-24
R,CAN,162.0,Stephanie Dubois,Dubois S.,1986-10-31
R,BLR,165.0,Anastasia Yakimova,Yakimova A.,1986-11-01
R,AUT,169.0,Patricia Mayr Achleitner,Mayr Achleitner P.,1986-11-08
R,IND,153.0,Sania Mirza,Mirza S.,1986-11-15
R,USA,178.0,Carly Gullickson,Gullickson C.,1986-11-26
L,JPN,168.0,Yurika Sema,Sema Y.,1986-12-25
L,CHN,170.0,Sheng Nan Sun,Sun N.,1987-01-21
R,RUS,173.0,Maria Kirilenko,Kirilenko M.,1987-01-25
R,AUS,180.0,Stephanie Bengson,Bengson S.,1987-01-31
L,CZE,177.0,Lucie Safarova,Safarova L.,1987-02-04
R,ESP,173.0,Estrella Cabeza Candela,Cabeza Candela E.,1987-02-20
R,THA,167.0,Nudnida Luangnam,Luangnam N.,1987-02-27
R,RUS,172.0,Anna Chakvetadze,Chakvetadze A.,1987-03-05
R,FRA,165.0,Aravane Rezai,Rezai A.,1987-03-14
R,CRO,180.0,Ivana Lisjak,Lisjak I.,1987-03-17
R,GER,170.0,Korina Perkovic,Perkovic K.,1987-04-14
R,RUS,188.0,Maria Sharapova,Sharapova M.,1987-04-19
R,AUS,174.0,Jarmila Gajdosova,Gajdosova J.,1987-04-26
R,ITA,164.0,Sara Errani,Errani S.,1987-04-29
R,BUL,168.0,Dia Evtimova,Evtimova D.,1987-04-30
R,ISR,170.0,Shahar Peer,Peer S.,1987-05-01
R,RUS,171.0,Elena Chalova,Chalova E.,1987-05-16
R,EGY,157.0,Ola Abou Zekry,Abou Zekry O.,1987-06-20
L,ARG,171.0,Maria Irigoyen,Irigoyen M.,1987-06-24
R,AUS,178.0,Karolina Wlodarczak,Wlodarczak K.,1987-06-27
R,ITA,180.0,Karin Knapp,Knapp K.,1987-06-28
R,GER,172.0,Tatjana Maria,Maria T.,1987-08-08
R,CAN,175.0,Aleksandra Wozniak,Wozniak A.,1987-09-07
R,GER,180.0,Andrea Petkovic,Petkovic A.,1987-09-09
R,RSA,173.0,Michelle Sammons,Sammons M.,1987-09-11
R,KAZ,180.0,Yaroslava Shvedova,Shvedova Y.,1987-09-12
R,BUL,180.0,Tsvetana Pironkova,Pironkova T.,1987-09-13
R,UKR,175.0,Olga Savchuk,Savchuk O.,1987-09-20
R,ROU,168.0,Monica Niculescu,Niculescu M.,1987-09-25
R,RUS,180.0,Olga Puchkova,Puchkova O.,1987-09-27
R,AUS,170.0,Bojana Bobusic,Bobusic B.,1987-10-02
R,GBR,178.0,Samantha Murray,Murray S.,1987-10-09
R,RUS,178.0,Alla Kudryavtseva,Kudryavtseva A.,1987-11-03
R,SRB,184.0,Ana Ivanovic,Ivanovic A.,1987-11-06
R,USA,175.0,Jessica Kirkland,Kirkland J.,1987-11-10
R,ITA,177.0,Giulia Gatto Monticone,Gatto Monticone G.,1987-11-18
R,ESP,169.0,Silvia Soler Espinosa,Soler Espinosa S.,1987-11-19
R,JPN,154.0,Shuko Aoyama,Aoyama S.,1987-12-19
L,COL,160.0,Karen Castiblanco,Castiblanco K.,1988-01-09
R,GBR,165.0,Georgie Gent,Gent G.,1988-01-13
R,ISR,167.0,Keren Shlomo,Shlomo K.,1988-01-14
L,GER,173.0,Angelique Kerber,Kerber A.,1988-01-18
R,CAN,170.0,Valerie Tetreault,Tetreault V.,1988-01-21
R,FRA,175.0,Tatiana Golovin,Golovin T.,1988-01-25
R,USA,180.0,Alexandra Mueller,Mueller A.,1988-02-14
L,SRB,173.0,Ana Veselinovic,Veselinovic A.,1988-02-22
R,USA,173.0,Lindsay Burdette,Burdette L.,1988-02-26
R,GER,167.0,Nicola Geuer,Geuer N.,1988-03-02
R,SRB,168.0,Teodora Mircic,Mircic T.,1988-03-03
R,GER,168.0,Laura Siegemund,Siegemund L.,1988-03-04
R,NZL,174.0,Marina Erakovic,Erakovic M.,1988-03-06
L,FRA,170.0,Violette Huck,Huck V.,1988-03-18
L,ROU,175.0,Mihaela Buzarnescu,Buzarnescu M.,1988-05-04
R,USA,178.0,Yasmin Schnack,Schnack Y.,1988-05-04
R,RUS,173.0,Maria Zharkova,Zharkova M.,1988-05-07
R,NED,170.0,Bibiane Schoofs,Schoofs B.,1988-05-13
R,ROU,173.0,Laura Ioana Andrei,Andrei I.,1988-05-31
R,USA,165.0,Elizabeth Kobak,Kobak E.,1988-06-03
R,NED,176.0,Nicole Thyssen,Thyssen N.,1988-06-05
L,RUS,178.0,Kate Makarova,Makarova K.,1988-06-07
R,POL,170.0,Anna Korzeniak,Korzeniak A.,1988-06-16
L,BUL,179.0,Dessislava Mladenova,Mladenova D.,1988-06-21
R,BRA,168.0,Teliana Pereira,Pereira T.,1988-07-20
R,ARG,170.0,Mailen Auroux,Auroux M.,1988-07-25
R,RUS,166.0,Anastasia Poltoratskaya,Poltoratskaya A.,1988-08-04
L,CHN,165.0,Yi Fan Xu,Xu F.,1988-08-08
R,SUI,175.0,Stefania Boffa,Boffa S.,1988-08-09
R,SWE,174.0,Johanna Larsson,Larsson J.,1988-08-17
R,UKR,170.0,Viktoria Kutuzova,Kutuzova V.,1988-08-19
R,BLR,182.0,Olga Govortsova,Govortsova O.,1988-08-23
R,ESP,162.0,Carla Suarez Navarro,Suarez Navarro C.,1988-09-03
R,ARG,180.0,Betina Jozami,Jozami B.,1988-09-08
R,FRA,178.0,Irena Pavlovic,Pavlovic I.,1988-09-28
R,SVK,180.0,Magdalena Rybarikova,Rybarikova M.,1988-10-04
R,GER,180.0,Julia Goerges,Goerges J.,1988-11-02
R,JPN,163.0,Erika Sema,Sema E.,1988-11-24
R,ARG,170.0,Florencia Molinero,Molinero F.,1988-11-28
R,INA,162.0,Ayu Fani Damayanti,Damayanti F.,1988-11-29
R,USA,163.0,Mary Gambale,Gambale M.,1988-12-18
R,HUN,168.0,Agnes Szavay,Szavay A.,1988-12-29
R,BRA,165.0,Vivian Segnini,Segnini V.,1989-01-03
R,NED,177.0,Michaella Krajicek,Krajicek M.,1989-01-09
R,GEO,170.0,Sofia Shapatava,Shapatava S.,1989-01-12
R,CHN,177.0,Shuai Zhang,Zhang S.,1989-01-21
R,RUS,183.0,Regina Kulikova,Kulikova R.,1989-01-30
R,RUS,170.0,Evgeniya Rodina,Rodina E.,1989-02-04
R,RUS,173.0,Marina Melnikova,Melnikova M.,1989-02-05
R,CHN,172.0,Chen Liang,Liang C.,1989-02-25
R,BOL,174.0,Maria Fernanda Alvarez Teran,Alvarez Teran F.,1989-02-28
R,RUS,179.0,Alexandra Panova,Panova A.,1989-03-02
R,ROU,173.0,Raluca Olaru,Olaru R.,1989-03-03
R,USA,165.0,Vania King,King V.,1989-03-03
R,POL,170.0,Agnieszka Radwanska,Radwanska A.,1989-03-06
R,USA,170.0,Julia Cohen,Cohen J.,1989-03-23
R,AUS,172.0,Anna Wishink,Wishink A.,1989-03-28
R,GBR,173.0,Anna Fitzpatrick,Fitzpatrick A.,1989-04-06
R,USA,170.0,Anamika Bhargava,Bhargava A.,1989-04-13
R,CZE,181.0,Nicole Vaidisova,Vaidisova N.,1989-04-23
L,GBR,170.0,Naomi Cavaday,Cavaday N.,1989-04-24
R,CHN,170.0,Jing Jing Lu,Lu J.,1989-05-05
R,SUI,186.0,Amra Sadikovic,Sadikovic A.,1989-05-06
R,SVK,161.0,Dominika Cibulkova,Cibulkova D.,1989-05-06
R,USA,170.0,Kimberly Couts,Couts K.,1989-05-09
R,FIN,170.0,Emma Sofia Helisten,Helisten S.,1989-05-11
L,USA,170.0,Lauren Jones,Jones L.,1989-05-12
R,ROU,172.0,Alexandra Dulgheru,Dulgheru A.,1989-05-30
R,UKR,174.0,Lesia Tsurenko,Tsurenko L.,1989-05-30
R,SUI,170.0,Timea Bacsinszky,Bacsinszky T.,1989-06-08
R,BRA,163.0,Ana Clara Duarte,Duarte C.,1989-06-11
R,MEX,160.0,Nazari Urbina,Urbina N.,1989-06-12
R,USA,165.0,Ashley Weinhold,Weinhold A.,1989-06-20
R,CHN,186.0,Ying Ying Duan,Duan Y.,1989-07-03
R,RUS,181.0,Alisa Kleybanova,Kleybanova A.,1989-07-15
R,SRB,170.0,Vesna Dolonc,Dolonc V.,1989-07-21
L,BRA,170.0,Roxane Vaisemberg,Vaisemberg R.,1989-07-25
R,BLR,180.0,Victoria Azarenka,Azarenka V.,1989-07-31
R,KAZ,171.0,Sesil Karatantcheva,Karatantcheva S.,1989-08-08
R,COL,169.0,Mariana Duque Marino,Duque Marino M.,1989-08-12
R,TPE,170.0,Yung Jan Chan,Chan J.,1989-08-17
R,ITA,182.0,Astrid Besser,Besser A.,1989-09-01
R,THA,169.0,Varatchaya Wongteanchai,Wongteanchai V.,1989-09-07
R,USA,183.0,Alexa Glatch,Glatch A.,1989-09-10
R,GER,178.0,Sabine Lisicki,Lisicki S.,1989-09-22
R,TUR,172.0,Cagla Buyukakcay,Buyukakcay C.,1989-09-28
R,BEL,182.0,Yanina Wickmayer,Wickmayer Y.,1989-10-20
R,HKG,178.0,Ling Zhang,Zhang L.,1989-10-28
R,GBR,175.0,Amanda Elliott,Elliott A.,1989-11-01
R,USA,178.0,Natalie Pluskota,Pluskota N.,1989-11-02
R,THA,165.0,Nungnadda Wannasuk,Wannasuk N.,1989-11-11
R,CHN,173.0,Jia Jing Lu,Lu J.,1989-11-18
R,USA,178.0,Maria Sanchez,Sanchez M.,1989-11-26
R,KGZ,174.0,Ksenia Palkina,Palkina K.,1989-12-13
R,AUS,168.0,Arina Rodionova,Rodionova A.,1989-12-15
R,ISR,171.0,Julia Glushko,Glushko J.,1990-01-01
R,AUS,167.0,Tammi Patterson,Patterson T.,1990-01-03
R,USA,173.0,Jamie Hampton,Hampton J.,1990-01-08
L,USA,175.0,Kristy Frilling,Frilling K.,1990-01-08
R,AUS,170.0,Alison Bai,Bai A.,1990-01-18
R,JPN,155.0,Shiho Akita,Akita S.,1990-01-18
R,FRA,173.0,Alize Cornet,Cornet A.,1990-01-22
R,GER,170.0,Nina Zander,Zander N.,1990-01-26
R,CHN,173.0,Kai Lin Zhang,Zhang L.,1990-01-28
R,USA,168.0,Chloe Jones,Jones C.,1990-02-01
R,GEO,171.0,Anna Tatishvili,Tatishvili A.,1990-02-03
R,LIE,167.0,Stephanie Vogt,Vogt S.,1990-02-15
R,ISR,156.0,Chen Astrogo,Astrogo C.,1990-02-25
R,GBR,189.0,Naomi Broady,Broady N.,1990-02-28
L,JPN,160.0,Yuuki Tanaka,Tanaka Y.,1990-03-07
L,CZE,183.0,Petra Kvitova,Kvitova P.,1990-03-08
R,SUI,170.0,Stefanie Voegele,Voegele S.,1990-03-10
R,JPN,163.0,Ayumi Morita,Morita A.,1990-03-11
L,ESP,165.0,Leticia Costas,Costas L.,1990-03-22
R,USA,168.0,Madison Brengle,Brengle M.,1990-04-03
R,ROU,176.0,Sorana Cirstea,Cirstea S.,1990-04-07
R,BUL,172.0,Elitsa Kostova,Kostova E.,1990-04-10
R,LAT,169.0,Anastasija Sevastova,Sevastova A.,1990-04-13
R,INA,160.0,Jessy Rompies,Rompies J.,1990-04-14
R,CAN,165.0,Sonja Molnar,Molnar S.,1990-04-29
R,ROU,170.0,Alexandra Cadantu Ignatik,Cadantu Ignatik A.,1990-05-03
R,USA,163.0,Irina Falconi,Falconi I.,1990-05-04
R,PAR,176.0,Adriana Pereira,Pereira A.,1990-05-15
R,AUT,171.0,Melanie Klaffner,Klaffner M.,1990-05-22
R,SVK,163.0,Kristina Kucova,Kucova K.,1990-05-23
L,CHN,172.0,Xinyun Han,Han X.,1990-05-30
L,SUI,178.0,Nicole Riner,Riner N.,1990-06-13
R,RUS,181.0,Anastasia Pivovarova,Pivovarova A.,1990-06-16
R,RUS,165.0,Ksenia Lykina,Lykina K.,1990-06-19
R,NZL,170.0,Abigail Guthrie,Guthrie A.,1990-06-22
R,USA,173.0,Alison Riske Amritraj,Riske Amritraj A.,1990-07-03
R,DEN,177.0,Caroline Wozniacki,Wozniacki C.,1990-07-11
R,GER,185.0,Mona Barthel,Barthel M.,1990-07-11
R,FRA,173.0,Alize Lim,Lim A.,1990-07-13
R,IND,183.0,Poojashree Venkatesha,Venkatesha P.,1990-07-27
R,CHN,160.0,Chang Liu,Liu C.,1990-08-01
R,RUS,170.0,Vitalia Diatchenko,Diatchenko V.,1990-08-02
R,BLR,172.0,Ksenia Milevskaya,Milevskaya K.,1990-08-09
R,BRA,173.0,Paula Cristina Goncalves,Goncalves C.,1990-08-11
R,AUS,167.0,Jessica Moore,Moore J.,1990-08-16
R,ROU,181.0,Irina Camelia Begu,Begu C.,1990-08-26
R,USA,180.0,Chelsey Gullickson,Gullickson C.,1990-08-29
R,SLO,178.0,Tadeja Majeric,Majeric T.,1990-08-31
R,DOM,170.0,Francesca Segarelli,Segarelli F.,1990-09-05
L,GEO,184.0,Oksana Kalashnikova,Kalashnikova O.,1990-09-05
R,CRO,173.0,Tereza Mrdeza,Mrdeza T.,1990-11-14
R,USA,173.0,Alexa Guarachi,Guarachi A.,1990-11-17
R,CAN,163.0,Sharon Fichman,Fichman S.,1990-12-03
R,AUT,165.0,Tamira Paszek,Paszek T.,1990-12-06
R,POL,177.0,Urszula Radwanska,Radwanska U.,1990-12-07
L,NED,180.0,Arantxa Rus,Rus A.,1990-12-13
R,CAN,183.0,Rebecca Marino,Marino R.,1990-12-16
R,FRA,174.0,Myrtille Georges,Georges M.,1990-12-21
R,SUI,174.0,Conny Perrin,Perrin C.,1990-12-25
R,INA,161.0,Beatrice Gumulya,Gumulya B.,1991-01-01
R,TPE,167.0,Kai Chen Chang,Chang C.,1991-01-13
R,CRO,181.0,Petra Martic,Martic P.,1991-01-19
R,SLO,182.0,Polona Hercog,Hercog P.,1991-01-20
R,USA,178.0,Mallory Burdette,Burdette M.,1991-01-28
R,AUT,178.0,Nikola Hofmanova,Hofmanova N.,1991-02-03
